stem,marker_id,rot,raw_mean_err,raw_max_err,raw_tl_err_px,raw_phi,cls_mean_err,cls_max_err,cls_tl_err_px,cls_phi,cnn_mean_err,cnn_max_err,cnn_tl_err_px,cnn_phi,delta_mean_err,delta_phi
000000572362,221,2,18.1173,29.8063,29.8063,0.1275,18.1173,29.8063,29.8063,0.1275,12.5362,22.7682,22.7682,0.3007,-5.5811,0.1732
000000097200,209,1,157.9012,172.3550,141.8574,0.0000,158.1640,172.2497,143.6324,0.0000,113.8376,116.7706,114.2179,0.0000,-44.3264,0.0000
000000097200,38,1,25.2514,30.8947,21.0539,0.3579,25.2514,30.8947,21.0539,0.3579,16.9297,18.3164,18.3164,0.4594,-8.3217,0.1016
000000097200,59,3,54.1407,61.3373,58.1635,0.0004,52.9366,60.7022,60.7022,0.0002,38.8201,40.7587,37.8401,0.0362,-14.1165,0.0360
000000097200,218,2,25.2553,32.7569,32.7569,0.0831,26.6040,36.1532,36.1532,0.0483,16.5978,17.6139,17.6139,0.4871,-10.0062,0.4388
000000097200,237,1,33.5991,38.2363,27.6449,0.1700,35.0577,42.0955,27.6449,0.1700,23.0311,24.7181,21.8713,0.3299,-12.0266,0.1599
000000097200,0,2,32.0110,47.7557,45.1687,0.0088,32.3791,52.0866,45.1687,0.0088,16.9467,33.5729,31.9676,0.0936,-15.4323,0.0847
000000097200,62,3,35.1820,40.5034,40.5034,0.0223,35.5541,40.5497,40.5034,0.0223,24.5749,25.1721,25.1721,0.2302,-10.9792,0.2079
000000097200,209,2,13.8790,23.3484,22.6741,0.3037,11.7322,22.3247,22.3247,0.3149,9.3728,18.2856,17.6430,0.4860,-2.3594,0.1710
000000097200,17,3,33.2901,37.4657,35.5144,0.0537,32.5701,35.8099,35.8099,0.0512,23.9696,24.9746,23.7637,0.2701,-8.6005,0.2189
000000136701,110,2,195.8132,279.4487,278.7169,0.0000,196.4700,279.8506,278.3466,0.0000,99.2404,196.6902,196.6902,0.0000,-97.2296,0.0000
000000136701,135,3,34.7892,48.1083,21.8875,0.3294,35.5205,51.0335,21.8875,0.3294,17.1054,33.7375,0.0290,1.0000,-18.4151,0.6706
000000259366,199,2,169.7337,264.1447,264.1447,0.0000,169.7337,264.1447,264.1447,0.0000,96.9231,193.5333,193.5333,0.0000,-72.8106,0.0000
000000259366,67,0,17.9715,29.5548,7.3468,0.8824,17.0662,29.5548,3.7256,0.9683,10.8614,20.9554,0.4586,0.9995,-6.2048,0.0312
000000259366,32,2,17.4314,22.5140,21.3255,0.3484,16.2814,22.5140,21.3255,0.3484,9.3858,15.3145,14.4467,0.6164,-6.8955,0.2680
000000122782,110,2,134.6490,227.3960,227.3960,0.0000,134.7649,223.9070,223.9070,0.0000,92.2301,181.6812,181.6812,0.0000,-42.5348,0.0000
000000122782,37,1,125.3445,147.5417,127.1812,0.0000,125.7970,149.3518,127.1812,0.0000,88.3048,110.2644,110.2644,0.0000,-37.4923,0.0000
000000122782,19,1,25.2246,27.5581,27.0199,0.1841,24.5511,27.5581,27.0199,0.1841,18.1303,18.8293,17.9948,0.4720,-6.4208,0.2880
000000122782,192,1,18.6926,28.1057,27.6504,0.1699,19.4270,28.1057,27.6504,0.1699,10.8493,18.2615,18.2615,0.4616,-8.5777,0.2917
